Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Zero Scarborough",KC,7,1,9,5,0,0,NULL,0,0,12
"Robbie Wallace",KC,5,7,12,4,0,0,NULL,0,0,12
"Keighlyn Johnson",KC,0,0,0,0,6,125,1.3920,-19,0,12
"Sena Morimoto",KC,21,20,18,8,0,5,0.8000,-5,0,12
"Layla English",KC,0,0,0,0,0,0,NULL,0,0,6
"Aaron Stout",KC,15,6,16,18,0,0,NULL,0,0,9
"Cori Jobman",KC,1,1,2,2,2,50,1.1800,-9,0,12
"Riley Usami",KC,23,4,11,8,0,0,NULL,0,0,6
"Audrey Shively",KC,0,0,0,0,0,10,0.7000,-8,0,6
"Miles Himmelmann",KC,1,4,6,1,0,0,NULL,0,0,12
"Kawena Abrigo",KC,0,0,0,0,0,0,NULL,0,0,0
"Vincent Reyes",KC,8,1,8,0,12,102,1.3529,-14,0,12
"Bitzy Archibold",KC,9,4,9,3,0,0,NULL,0,0,9
"Talon Klimek",KC,0,0,8,0,0,0,NULL,0,0,12
"Dominic Krzmarzick",KC,0,0,0,0,13,70,1.2857,-28,0,12
"Billy Quach",KC,1,4,2,3,0,0,NULL,0,0,6
"Matt Shields",KC,0,0,0,0,0,0,NULL,0,0,0
"Danny Rendon",KC,9,2,12,8,0,0,NULL,0,2,12
"Jackson Herdade",KC,0,0,0,0,1,28,1.1429,-11,0,12
"Aakash Srinivasan",KC,0,0,0,0,0,0,NULL,0,0,3
"Jack Downing",KC,0,0,0,0,0,0,NULL,0,0,3
"Brian McClannahan",KC,0,0,0,0,9,91,1.3516,0,0,12
"Lauren Curry",KC,0,0,0,0,7,112,1.4375,-10,0,12
"Justin Dewick",KC,0,0,0,0,3,33,1.6667,-4,0,9
"Matthew Gulick",KC,14,6,23,11,0,0,NULL,0,0,9
"Brenna Duncan",KC,5,2,12,3,0,15,1.2000,-5,0,12
"Madeline Namanny",KC,1,0,3,2,1,54,1.1667,-27,0,9
"Aaron Grant",KC,0,0,0,0,0,0,NULL,0,0,0
"Andrew Axtell",AUS,24,9,6,11,0,0,NULL,0,0,9
"Sammy Garza",AUS,35,17,12,4,0,0,NULL,0,0,12
"Kaci Erwin",AUS,7,7,2,10,0,22,1.6818,10,0,9
"Dylan Bottoms",AUS,9,14,1,12,0,0,NULL,0,0,12
"Louis Sanchez",AUS,4,5,4,4,0,0,NULL,0,0,6
"Daniel Williams",AUS,0,0,0,0,16,119,1.7311,38,0,12
"Mel Kite",AUS,8,6,8,5,1,4,2.0000,0,0,12
"Aryan Ghoddossy",AUS,0,0,0,0,0,0,NULL,0,0,0
"Kyzer Polzin",AUS,0,0,0,0,13,103,1.7282,46,0,12
"Michael Parada",AUS,14,11,0,14,0,4,1.5000,1,1,12
"Augustine Monroe",AUS,23,13,3,8,0,0,NULL,0,1,9
"Jennifer Bollweg",AUS,0,1,1,2,0,0,NULL,0,0,6
"Jackson Johnson",AUS,0,0,0,0,29,110,1.6727,34,0,12
"Purvi Mujumdar",AUS,0,0,0,0,8,75,1.6800,28,0,12
"Missy Ghoddossy",AUS,2,3,5,1,0,0,NULL,0,0,6
"Mark McQuage",AUS,4,7,3,3,0,0,NULL,0,0,12
"Kasye Bevers",AUS,3,1,2,5,4,39,1.6667,19,0,12
"Bailee Fields",AUS,0,0,0,0,5,100,1.6700,32,0,9
"Jenna Adams Tracy",AUS,6,2,1,2,0,0,NULL,0,0,6
"Josh Johnson",AUS,12,12,5,12,0,0,NULL,0,0,6
"TJ Martinez",AUS,0,0,0,0,0,0,NULL,0,0,0
"Cameron Castilaw",AUS,0,0,0,0,1,23,1.7826,8,0,6
"Austin Villejo",AUS,11,5,6,3,0,0,NULL,0,0,6
"Cameron Ogilvie",AUS,0,0,0,0,0,0,NULL,0,0,0
"Miguel Esparza",AUS,60,31,4,18,0,0,NULL,0,0,12
"Eric Reyes",AUS,0,0,0,0,0,0,NULL,0,2,3
"Isabella Rios",AUS,0,0,0,0,2,18,1.7778,10,0,3
"Taylor Tracy",AUS,0,0,0,0,6,41,1.6585,12,0,6
"Pierce Wilson",AUS,0,0,0,0,0,0,NULL,0,1,6
"Barbara Groh",AUS,0,0,0,0,0,0,NULL,0,0,0
"Conner Mason",LC,0,0,0,0,8,131,1.0229,-25,0,12
