Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Griffin Parr",NO,0,0,0,0,0,5,1.8000,-3,0,3
"Ben Mertens",NO,6,6,12,4,0,0,NULL,0,0,3
"Josh Mansfield",NO,0,0,0,0,7,53,1.5472,5,0,3
"Veronica Spicer",NO,3,1,4,1,0,0,NULL,0,0,3
"Caitlin Ducat",NO,0,0,0,0,0,0,NULL,0,0,0
"Jason Plain",NO,0,0,0,0,0,0,NULL,0,0,0
"Shelby Cascio",NO,0,0,0,0,0,0,NULL,0,0,0
"Marcellus Lewis",NO,0,0,0,0,0,0,NULL,0,0,0
"Sarah Kneiling",NO,0,1,0,0,1,27,1.0000,-8,0,3
"Tj Goaley",NO,0,0,0,0,0,0,NULL,0,0,0
"Carter Shields",NO,0,0,0,0,0,0,NULL,0,0,0
"Charlton Tramel",NO,11,4,4,3,0,0,NULL,0,0,3
"Aja Palermo",NO,0,0,0,0,0,0,NULL,0,0,0
"Gabriel Garza",NO,0,0,0,0,0,0,NULL,0,0,0
"Dylan DeLee",NO,0,0,5,4,0,0,NULL,0,0,3
"Sarah Yanofsky",NO,0,0,2,0,1,2,1.5000,0,0,3
"Felix Rabito",NO,0,0,0,0,0,0,NULL,0,0,0
"Nicholas Savino",NO,0,0,0,0,0,0,NULL,0,0,0
"Michael Sanders",NO,0,0,0,0,3,22,1.0455,-5,0,3
"Carson Running",NO,4,1,5,3,0,0,NULL,0,0,3
"P.J. Mitchell",NO,4,3,4,4,0,0,NULL,0,0,3
"Eric Jurgeson",NO,0,0,0,0,0,0,NULL,0,0,0
"Alex Pucciarelli",NO,0,0,0,0,6,51,1.6471,5,0,3
"Tyrell Byrd",CLT,0,0,0,0,0,0,NULL,0,0,3
"William Forinash",CLT,2,3,6,2,0,0,NULL,0,0,3
"Micki Haralson",CLT,0,0,0,0,0,12,1.5000,-3,0,3
"Tony Bonadio",CLT,0,0,0,0,0,15,1.0667,-2,0,3
"Matthew Shaw",CLT,0,0,0,0,0,0,NULL,0,0,0
"Jordi Sancho",CLT,0,0,0,0,0,0,NULL,0,0,3
"Lauren Hirsch",CLT,0,0,0,0,1,18,1.5000,4,0,3
"Owen Guerrero",CLT,0,0,0,0,0,0,NULL,0,0,0
"Kody LaBauve",CLT,0,0,0,0,13,48,1.5000,3,0,3
"Courtney Hodge",CLT,0,0,0,0,0,0,NULL,0,0,0
"John Keyser",CLT,0,0,0,0,0,0,NULL,0,0,0
"Jared Woodard",CLT,3,4,3,2,0,0,NULL,0,0,3
"Brandon Peterson",CLT,0,0,0,0,0,0,NULL,0,0,0
"Burl Womack",CLT,0,0,0,0,0,0,NULL,0,0,0
"Celine Richard",CLT,0,0,0,0,4,58,1.3966,-5,0,3
"Ryan Davis",CLT,10,0,4,3,0,0,NULL,0,1,3
"Lee Hodge",CLT,0,0,0,0,0,0,NULL,0,0,0
"Toby Jenkins",CLT,0,0,0,0,0,0,NULL,0,0,3
"Madison Burns",CLT,0,4,1,3,0,0,NULL,0,0,3
"Melissa Ross",CLT,3,1,2,2,0,0,NULL,0,0,3
"Braxton Hale",CLT,1,4,4,2,0,0,NULL,0,0,3
"Joe Goldberg",CLT,0,0,0,0,2,25,1.5200,-5,0,3
"Nicholas Thompson",CLT,1,0,2,1,0,0,NULL,0,0,3
"Leo Bonilla",CLT,0,0,0,0,0,0,NULL,0,0,3
"Carynne White",CLT,0,0,0,0,0,0,NULL,0,0,0
"Zachary Thompson",CLT,8,4,5,3,0,0,NULL,0,0,3
"Allison Slominski",CLT,1,0,1,0,0,0,NULL,0,0,3
"Adelynn Morris",CLT,0,0,2,0,0,0,NULL,0,0,3
"Mohamed-Yahia Monawar",CLT,3,3,8,1,0,0,NULL,0,0,3
"Alex Mitchell",DET,0,0,0,0,0,0,NULL,0,0,0
"Eden Ahern",DET,0,0,1,0,0,0,NULL,0,0,2
"Julien Theuerkauf",DET,0,0,0,0,0,0,NULL,0,0,0
"Lyndsey Smeyers",DET,2,1,1,0,0,0,NULL,0,0,2
"Brice Tweddle",DET,0,0,0,0,0,0,NULL,0,0,0
"Nathan Feidner",DET,0,0,0,0,0,0,NULL,0,0,0
"Rob Butler",DET,0,5,3,0,0,0,NULL,0,0,2
"Ryan Hsu",DET,0,0,0,0,3,34,1.1176,-11,0,2
"Jack Levy",DET,2,3,4,2,0,0,NULL,0,0,2
"Sarah Maxey",DET,0,0,1,1,0,0,NULL,0,0,2
"Nicholas Love",DET,0,0,0,0,0,0,NULL,0,0,2
"Rick Wasser",DET,0,0,0,0,0,0,NULL,0,0,0
"Gwen Pratt",DET,1,0,0,2,0,0,NULL,0,0,2
"Ryan Swanson",DET,0,0,0,0,2,21,1.3810,-4,0,2
"Marisa Wier",DET,0,0,0,0,0,0,NULL,0,0,0
"Ethan Wanous",DET,0,0,0,0,0,0,NULL,0,0,2
"David Banas",DET,0,0,0,0,0,0,NULL,0,0,0
"David Wier",DET,0,0,0,0,0,0,NULL,0,0,0
"Amanda Margolis",DET,0,0,6,0,0,0,NULL,0,0,2
"George Dering",DET,3,0,1,0,0,0,NULL,0,0,2
"Andrew Mueller",DET,4,0,3,0,0,0,NULL,0,0,2
"Jay Hartnett",DET,0,0,0,0,0,0,NULL,0,0,0
"Ash Toth",DET,0,0,0,0,0,0,NULL,0,0,0
"Brooke Smiley",DET,0,0,0,0,3,24,1.3333,-8,0,2
"Dustin Minnick",DET,0,0,0,0,0,6,1.3333,-1,0,2
"Thomas Weir",DET,0,0,0,0,0,0,NULL,0,0,2
"Rei Brodeur",DET,0,0,0,0,1,37,1.1622,-8,0,2
"Lukas Marklin",DET,5,1,3,2,0,0,NULL,0,0,2
"Kaegan Maddelein",DET,2,2,4,4,0,0,NULL,0,0,2
"Brian Flahie",DET,0,0,0,0,0,0,NULL,0,0,2
"Cody Narveson",MPLS,0,0,0,0,3,60,1.3833,-9,0,5
"Cole Treml",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Cole Lachmiller",MPLS,7,4,4,3,0,0,NULL,0,0,5
"Emma Persons",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Max Meier",MPLS,3,2,6,2,0,0,NULL,0,0,5
"Emily Sveda",MPLS,1,3,7,1,0,0,NULL,0,0,5
"Henry Baer-Benson",MPLS,3,6,4,4,0,0,NULL,0,0,5
"Cassandra Evans",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Gracie Johnson",MPLS,0,0,0,0,6,59,1.4407,-6,0,5
"Mike Devine",MPLS,1,0,0,0,0,0,NULL,0,3,5
"Samantha Schwartz",MPLS,2,1,3,0,0,0,NULL,0,0,5
"Sydney Stommes",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Addie Sobczak",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Anna Nelson",MPLS,0,0,1,0,0,0,NULL,0,0,5
"Alexander Obanor",MPLS,4,0,1,1,0,0,NULL,0,0,5
"Nicole Nelson",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Chris Preston",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Terry Carlson",MPLS,6,2,9,3,0,0,NULL,0,0,5
"Meredith McDowell",MPLS,0,0,0,0,0,33,1.2424,-12,0,5
"Joe Blanchard",MPLS,0,0,0,0,3,31,1.3226,-9,0,5
"Ben Zimet",MPLS,9,1,8,3,0,0,NULL,0,0,5
"Matt Bessard",MPLS,2,1,5,1,0,0,NULL,0,0,5
"Jack Sellner",MPLS,2,0,2,2,0,0,NULL,0,0,5
"Joe Goulet",MPLS,0,1,4,0,0,0,NULL,0,0,5
"Katie Papador",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Ben Schlueter",MPLS,0,0,0,0,1,35,1.2286,-5,0,5
"Jonah Fuhrman",MPLS,0,0,1,1,0,0,NULL,0,0,5
"Nathan Podolsky",MPLS,0,0,0,0,4,34,1.2059,-5,0,5
"Seth Swenson",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Zeke Majeske",MPLS,1,0,1,1,0,0,NULL,0,0,5
"Emma Polen",BOS,0,0,2,2,0,0,NULL,0,0,5
"Taylor Crawford",BOS,0,0,0,0,0,0,NULL,0,0,0
"Stephen Trempel",BOS,0,0,0,0,0,0,NULL,0,0,5
"Erin McCrady",BOS,0,0,0,0,1,28,1.4286,-4,0,5
"Andrew Steinberg",BOS,1,2,3,4,0,0,NULL,0,0,5
"Zach Doyle",BOS,6,4,6,6,0,0,NULL,0,0,5
"Kieran Collier",BOS,0,0,0,0,5,53,1.4528,-5,0,5
"Claire Olmstead",BOS,0,0,0,0,0,0,NULL,0,0,0
"Max Havlin",BOS,0,0,0,0,9,71,1.5211,3,0,5
"Lulu Xu",BOS,0,0,0,0,2,57,1.5439,5,0,5
"Mason duBoef",BOS,0,0,0,0,0,0,NULL,0,0,0
"Tyler Beckmann",BOS,3,0,5,2,0,0,NULL,0,3,5
"Harry Greenhouse",BOS,10,4,6,1,0,0,NULL,0,0,5
"Peter Lawrence",BOS,9,5,8,3,0,0,NULL,0,0,5
"Athena Mayor",BOS,4,0,11,8,0,0,NULL,0,0,5
"Sierra Delk",BOS,0,3,3,5,0,0,NULL,0,0,5
"Andrew Bittles",BOS,0,0,0,0,0,0,NULL,0,0,0
"William Richardson",BOS,2,1,1,2,0,0,NULL,0,1,5
"David Fox",BOS,0,0,0,0,0,0,NULL,0,0,0
"Ian Scura",BOS,7,5,6,5,0,0,NULL,0,0,5
"Gregory Bento",BOS,2,1,1,4,0,0,NULL,0,0,5
"Morgan Bertram",BOS,2,1,3,3,0,0,NULL,0,0,5
"Carsen Olazaba",BOS,8,6,13,7,0,0,NULL,0,0,5
"Ana Luiza Nicolae",BOS,0,0,0,0,0,0,NULL,0,0,0
"Leeanne Dillmann",BOS,0,0,0,0,7,51,1.4902,-3,0,5
"William Andrews",BOS,0,0,0,0,0,0,NULL,0,0,1
"Serena Monteiro",BOS,0,0,0,0,0,24,1.4167,-6,0,5
"Jessica Lee",BOS,0,0,0,0,0,0,NULL,0,0,0
"Abraham Beningson",BOS,0,0,0,0,0,0,NULL,0,0,0
"Fiona Wisehart",BOS,0,0,0,0,1,10,1.1000,-2,0,4
"Zero Scarborough",KC,0,0,0,0,0,0,NULL,0,0,0
"Robbie Wallace",KC,3,0,9,1,0,0,NULL,0,0,4
"Keighlyn Johnson",KC,0,0,0,0,1,37,1.1622,-1,0,4
"Sena Morimoto",KC,8,11,17,7,0,0,NULL,0,0,4
"Layla English",KC,0,0,0,0,0,0,NULL,0,0,4
"Aaron Stout",KC,6,4,7,10,0,0,NULL,0,0,4
"Cori Jobman",KC,1,0,2,1,0,0,NULL,0,0,4
"Riley Usami",KC,14,9,11,5,0,0,NULL,0,0,4
"Audrey Shively",KC,0,0,0,0,0,0,NULL,0,0,4
"Miles Himmelmann",KC,1,0,2,0,0,0,NULL,0,0,4
"Kawena Abrigo",KC,0,0,0,0,0,0,NULL,0,0,0
"Vincent Reyes",KC,2,0,0,1,8,46,1.2609,1,0,4
"Bitzy Archibold",KC,0,0,0,0,0,0,NULL,0,0,0
"Talon Klimek",KC,0,0,0,0,0,0,NULL,0,0,4
"Dominic Krzmarzick",KC,0,0,0,0,0,4,1.2500,0,0,4
"Billy Quach",KC,0,0,0,0,0,0,NULL,0,0,0
"Matt Shields",KC,0,0,0,0,0,0,NULL,0,0,0
"Danny Rendon",KC,0,0,0,0,0,0,NULL,0,0,4
"Jackson Herdade",KC,0,0,0,0,1,2,2.0000,0,0,4
"Aakash Srinivasan",KC,0,0,0,0,0,0,NULL,0,0,0
"Jack Downing",KC,0,0,0,0,0,0,NULL,0,0,0
"Brian McClannahan",KC,0,0,0,0,3,33,1.2727,2,0,4
"Lauren Curry",KC,0,0,0,0,6,49,1.3061,3,0,4
"Justin Dewick",KC,0,0,1,0,2,25,1.2400,-3,0,4
"Matthew Gulick",KC,6,5,7,3,0,0,NULL,0,0,4
"Brenna Duncan",KC,4,0,6,2,0,0,NULL,0,0,4
"Madeline Namanny",KC,0,0,0,0,2,26,1.3462,-3,0,4
"Aaron Grant",KC,0,0,0,0,0,0,NULL,0,0,0
"Liam Zach",CHI,4,3,7,1,0,1,2.0000,1,1,7
"Amy Zasadzinski",CHI,4,0,1,1,0,0,NULL,0,0,7
"Grant Himmelmann",CHI,1,0,2,0,0,0,NULL,0,0,7
