Series,Date,Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"CLE vs TOR",2023-06-03,"Rae Barnes",CLE,0,0,0,0,3,24,1.5000,-4,0,3
"CLE vs TOR",2023-06-03,"Jack Moseley",CLE,3,1,11,2,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Rob Beaton",CLE,0,0,2,0,0,5,1.0000,-2,0,3
"CLE vs TOR",2023-06-03,"Kaz Christian",CLE,1,0,1,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Will Templin",CLE,0,0,0,0,4,27,1.3333,-10,0,3
"CLE vs TOR",2023-06-03,"Austin Howe",CLE,0,0,0,0,3,27,1.7037,-3,0,3
"CLE vs TOR",2023-06-03,"Korey Johnson",CLE,2,2,12,3,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Taylor Freeman",CLE,0,1,4,2,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Fiona Gaffney",CLE,3,0,7,1,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Sam Beeler",CLE,0,0,0,1,4,33,1.4848,-5,0,3
"CLE vs TOR",2023-06-03,"Carrie Cowden",CLE,1,1,4,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Peter Brechting",CLE,4,3,11,4,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Joseph Lombardi",CLE,2,7,5,7,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Gabriel Boris",CLE,2,0,8,2,0,2,1.5000,0,0,3
"CLE vs TOR",2023-06-03,"Kyle Dawson",CLE,0,0,0,0,0,22,1.5000,-3,0,3
"CLE vs TOR",2023-06-03,"Lacey Hutchman",CLE,0,0,0,0,0,14,1.4286,-5,0,3
"CLE vs TOR",2023-06-03,"Dominik Twarowski",CLE,3,1,3,2,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Frank Abbey",CLE,0,0,0,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Aaron Oehler",CLE,0,0,2,0,3,12,1.6667,0,0,3
"CLE vs TOR",2023-06-03,"Erik Lamb",CLE,1,2,3,2,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Gabbie Benda",CLE,0,0,0,0,0,24,1.5833,-4,0,3
"CLE vs TOR",2023-06-03,"Samantha McCaul",TOR,0,0,0,0,2,27,1.5556,6,0,3
"CLE vs TOR",2023-06-03,"Emma Sherwood",TOR,0,0,0,0,6,37,1.5405,5,0,3
"CLE vs TOR",2023-06-03,"Grace Davey",TOR,0,0,0,0,0,5,1.4000,3,0,3
"CLE vs TOR",2023-06-03,"Piotr Makuch",TOR,0,0,0,0,1,27,1.7037,9,0,3
"CLE vs TOR",2023-06-03,"Robert Ali",TOR,3,1,3,4,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Matthew Bunn",TOR,4,1,2,4,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Joanne Lam",TOR,2,4,1,5,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Rebecca Hodder",TOR,0,0,1,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Stevie Vindua",TOR,10,3,10,6,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Noelle Starling",TOR,0,1,4,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Sarah Dykstra",TOR,0,0,4,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Devin Dutt",TOR,3,5,12,6,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Derek Taylor",TOR,1,3,4,5,0,11,1.6364,1,0,3
"CLE vs TOR",2023-06-03,"Cory Smithson",TOR,3,1,2,2,3,26,1.3846,2,1,3
"CLE vs TOR",2023-06-03,"Christos Kaldis",TOR,5,2,2,3,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Brittany Kahane",TOR,0,0,0,0,3,26,1.5385,3,0,3
"CLE vs TOR",2023-06-03,"Scott Rousseau",TOR,0,0,1,0,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Bryan Melchior",TOR,6,1,3,1,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Alexander Scherger",TOR,0,0,0,0,4,31,1.4839,5,0,3
"CLE vs TOR",2023-06-03,"Levi Medeiros",TOR,3,0,5,2,0,0,NULL,0,0,3
"CLE vs TOR",2023-06-03,"Savannah Campbell",TOR,0,0,0,0,0,0,NULL,0,0,3
"SA vs KC",2023-06-03,"Miles Himmelmann",KC,0,2,1,0,0,0,NULL,0,0,3
"SA vs KC",2023-06-03,"Brenna Duncan",KC,0,1,3,0,0,15,1.2000,-5,0,3
